restaurant name,category,rating,cost for two,area,locality,address,veg,long distance delivery,city
babbu's food plaza,"north indian,biryani,tandoor,indian,mughlai",3.7,250,civil lines,sadar,"vca stadium, civil lines",False,0,nagpur
pizza hut,"pizzas,fast food",3.2,300,sitabuldi,"1st flr, eternity mall, variety square","sn f1 & f2, 1st flr, eternity mall, variety square, sitabuldi, nagpur, maharashtra 440012",False,0,nagpur
gulshan plaza,"north indian,mughlai,maharashtrian,biryani,desserts,beverages",3.5,400,"sitabuldi, nagpur",sitabuldi,in front of zero miles metro station near sitabuldi,False,0,nagpur
rolls mania,fast food,4.0,200,pratap nagar,"shewalkar garden, gopal nagar","shop 32, upper ground floor, shewalkar gardens, opposite reliance fresh, gopal nagar, pratap nagar, nagpur",False,0,nagpur
shankar bhojnalaya (pure veg),"indian,thalis,chinese,biryani,north indian,punjabi,desserts",3.3,200,lokmat chowk,"lokmat chowk, shankar","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
haldiram's thaat baat restaurant,"north indian,biryani,thalis,snacks,south indian,chinese,pizzas,beverages",4.0,300,sitabuldi,sitabuldi,"abhyankar road, sitabuldi, nagpur",True,0,nagpur
gulab  bhojnalaya,north indian,3.8,400,sitabuldi,sitabuldi,"refugee shop no3 near anand  talkies, zone no.2 -dharampeth, nagpur  (urban), nagpur, maharashtra - 440012",False,0,nagpur
gulab restaurant,north indian,3.8,400,sitabuldi,sitabuldi,"refugee shop no3 near anand  talkies, zone no.2 -dharampeth, nagpur  (urban), nagpur, maharashtra - 440012",False,0,nagpur
saoji jagdish bhojnalaya,"maharashtrian,north indian,biryani,desserts",3.3,400,gandhibagh,gandhibagh,"subhash road, ganesh peth, gandhibagh, nagpur",False,0,nagpur
 royal chinese and fastfoods,chinese,3.8,200,nandanvan,nandanvan,"back side, railway station, near nagpur, scooter parking, near cotton market road, mominpura, nagpur, maharashtra 440018",False,0,nagpur
anand bakery,"bakery,desserts",4.3,200,sitabuldi,sitabuldi,"main road, sitabuldi, nagpur,sitabuldi,nagpur",False,0,nagpur
haldiram's planet food,"north indian,biryani,thalis,snacks,south indian,chinese,pizzas,beverages",4.3,300,sitabuldi,munje chowk,"abhyankar marg, munje chowk, sitabuldi, nagpur, maharashtra 440012",True,0,nagpur
sai chinese center,"chinese,beverages",4.0,150,nandanvan,nandanvan,"imamwada, longmarch chowk, ghat road, nagpur 440003",True,0,nagpur
shree ganesh sagar,"north indian,south indian,thalis,chinese,beverages",3.9,600,dhantoli,dhantoli,"b 2/5 saraf court, opposite yashwant stadium, dhantoli, nagpur",True,0,nagpur
hotel president's khana khazana,"indian,chinese",3.8,400,sitabuldi,sitabuldi,"modi no. 3, sitabuldi, nagpur, maharashtra",True,0,nagpur
hungry hippy,"chinese,fast food,snacks",3.8,200,sitabuldi,sitabuldi,"41, rahul bazar, sitabuldi, nagpur, maharashtra 440012, india",False,0,nagpur
side walk - hotel hardeo,"north indian,fast food",3.8,500,sitabuldi,sitabuldi,"dr. munje marg, sitaburdi, nagpur, nagpur urban, nagpur-1, maharashtra-440012",False,0,nagpur
kalpataru - hotel hardeo,"north indian,fast food",3.8,500,sitabuldi,sitabuldi,"dr. munje marg, sitaburdi, nagpur, nagpur urban, nagpur-1, maharashtra-440012",False,0,nagpur
raj sweets,sweets,3.8,300,cotton market,gandhibagh,"raj sweets, bajeria, nagpur, maharashtra, india",True,0,nagpur
pizza ever,"pizzas,beverages",3.1,300,mahal,mahal,"mahal,gujarwada,beside matru seva sangh, near navyug vidyalaya,arnolds gym,near ganesh mandir",True,0,nagpur
mumkins xpress,"north indian,chinese,south indian,oriental",3.8,300,ganeshpeth colony,"cotton market road, near city bus stand","20, new cotton market rd, ganeshpeth colony, nagpur, maharashtra 440018",True,0,nagpur
singh's - dhantoli,"indian,chinese,mughlai,biryani",4.1,500,dhantoli,dhantoli,"shop 6 & 7, yashwant stadium, near patwardhan ground, dhantoli, nagpur",False,0,nagpur
om pure veg restaurant,"north indian,indian",3.8,200,panchasheel chowk,pratap nagar,opposite panchsheel theater ramdaspeth nagpur nagpur urban nagpur 1 maharashtra,True,0,nagpur
shree ki rasoi,"thalis,combo",3.8,200,sadar,sadar,"npk salve marg nrar drm office mohan nagar, nagpur, -440001",True,0,nagpur
novelty pure veg restaurant,"north indian,thalis,beverages",3.9,300,cotton market,gandhibagh,"opposite chandralok building, c.a road, gandhibagh, nagpur",True,0,nagpur
new amar prem,fast food,3.8,300,sitabuldi,sitabuldi,"vadra road, sitabuldi, nagpur",True,0,nagpur
krishnum food plaza,"south indian,biryani,pizzas,thalis,north indian,indian,american",3.8,200,sadar,sadar,"mount road, sadar, nagpur",False,0,nagpur
miki momos,"chinese,afghani,tandoor,fast food",4.0,300,sitabuldi,sitabuldi,"26, central park rd, godhni, dhantoli, nagpur, maharashtra 440012, india",False,0,nagpur
the opera house,"chinese,italian,thai,french",3.8,1000,sitabuldi,sitabuldi,old regent talkies variety square wardha road sitabuldi nagpur nagpur urban nagpur 1 maharashtra,False,0,nagpur
browny testa,"desserts,beverages",3.8,300,sitabuldi,sitabuldi,"ground floor, beside kfc  restaurant, eternity mall, sitabuldi,  zone no.4 -dhantoli, nagpur urban,  nagpur-1, maharashtra - 440012",True,0,nagpur
vina vihar,fast food,4.1,300,dhantoli,sitabuldi,vina vihar shankar bhawan mehadiya chowk dhantoli  nagpur,True,0,nagpur
pvr,"snacks,fast food,beverages",3.8,400,gandhibagh,pvr empress nagpur,"pvr ltd. 3rd floor, empress city mall, near gandhi sagar lane, nagpur -440018.",False,0,nagpur
goli vada pav no.1,"snacks,maharashtrian,fast food,beverages",3.8,200,dhantoli,ramdaspeth,"ground floor, plot no- 10/1, shop no- 1b, house no- 5b/1, sk society, neharu marg, dhantoli, nagpur 440012",False,0,nagpur
d9 restaurant,"north indian,chinese",3.8,300,civil lines,sitabuldi,oppsite eternity mall,False,0,nagpur
balaji bhojnalaya,north indian,3.8,200,gandhibagh,gandhibagh,shop no 15 rahul complex  bhavan st bus stand ganeshpeth nagpur zone no 5 hanumannagar  nagpur urban 1,False,0,nagpur
checkers,"chinese,north indian,indian,tandoor,continental,beverages,pizzas,desserts",4.3,300,sadar,sadar,"shop no.13-17 sjti complex, residency rd, sadar, nagpur, maharashtra 440001, india",False,0,nagpur
the liar's cafe,"pizzas,italian,snacks,beverages",3.8,300,sitabuldi,sitabuldi,"orange city tower, central park rd, godhni, dhantoli, nagpur, maharashtra 440012, india",False,0,nagpur
paratha shop,"north indian,indian,snacks,beverages,punjabi,sweets,desserts",4.2,250,sadar,sadar,"guman building, residency road, sadar, nagpur",True,0,nagpur
ns fast food & daily needs,fast food,3.8,300,gandhibagh,nandanvan,542 santra market road mahatma fule bazar nagpur-440018,True,0,nagpur
fou shacks cake boutique,bakery,3.8,300,sitabuldi,sitabuldi,"shop no. 8, niyogi bhawan, abhyankar marg, mehadia square, dhantoli, nagpur urban, nagpur-1 (maharashtra), - 440012",False,0,nagpur
fsb,"indian,continental,italian,chinese,asian,north indian,desserts",4.1,500,dhantoli,dhantoli,"b/9, orange city towers, opposite tilak patrakar bhavan, dhantoli, nagpur",False,0,nagpur
raskunj,"desserts,beverages,juices",4.3,250,ramdaspeth,ramdaspeth,"panchsheel building, ramdaspeth, nagpur",True,0,nagpur
kwality walls frozen dessert and ice cream shop,"desserts,ice cream",4.7,300,ganeshpeth colony,gandhibagh,"flavours: house no 741/a, near dr.akare, model mill gate, ganeshpeth, nagpur, maharashtra-440018",False,0,nagpur
mom's maggy mania,snacks,4.0,180,sitabuldi,sitabuldi,"527, sitabuldi, nagpur, maharashtra 440012, india",False,0,nagpur
momo's hub,"chinese,snacks",3.8,200,nandanvan,nandanvan,"535  gadikhana ganeshpeth colony, nagpur, maharashtra 440018, india",False,0,nagpur
shabana bakery,"bakery,desserts,pizzas,pastas,chinese,snacks,fast food",4.0,250,byramji town,byramji town,"36, koradi rd, byramji town, nagpur",False,0,nagpur
tds restro lounge,"indian,oriental,chinese,continental,seafood,beverages",3.7,1200,sitabuldi,sitabuldi,"12, farmland, milestone building, 5th floor, shop no. 16, ramdaspeth, wardha road, nagpur, district - nagpur-1, state - maharashtra",False,0,nagpur
fuel station cafe & restro,"fast food,beverages",3.9,250,ramdaspeth,shankar nagar square,"kamlakar palace, opposite nit garden, shankar nagar square, nagpur",False,0,nagpur
sardaarji,"north indian,fast food,mughlai,biryani,desserts,punjabi,beverages",4.1,300,sitabuldi,sitabuldi,"shop no. 14-19, pushpakunj commercial complex, near center point hotel, central bazar road, ramdaspeth, nagpur 440010",False,0,nagpur
dinshaw's icecream - tatabaugh,"ice cream,desserts,beverages",4.4,300,gandhibagh,"gandhibagh, tatabagh","house no. 6/a, near tata parsi high school, opp. shukrawari talav, nagpur",True,0,nagpur
tapri chaha katta,"beverages,snacks,juices",3.8,200,sitabuldi,sitabuldi,"""7, meh-adia, choti chantoli (dhantoli), nagpur 440025 dhantoli nagpur",False,0,nagpur
babbu's arabian,"biryani,mughlai,north indian",3.8,300,cotton market,dharampeth,"central avenue road, dosar bhawan, behind traffic police chowky, bajaria",False,0,nagpur
pizzaland,pizzas,4.0,300,sitabuldi,sitabuldi,"amarjyoti complex, chitale marg, lokmat square, ramdaspeth, nagpur, maharashtra 440012, india",True,0,nagpur
new sizzling snacks & bakery,"bakery,snacks",3.8,150,gandhibagh,motibagh,"shop no 199 rai ashiyana appt,moti bagh jagrut nagar,440018",False,0,nagpur
varhadi that,"maharashtrian,indian,desserts,tandoor,biryani",4.4,250,dhantoli,dhantoli,"ganesh chamber, dhantoli",False,0,nagpur
veeraswami,"south indian,snacks,beverages",4.3,300,sadar,sadar,"lic building, link road, mount road extension, s.bazar, sadar, nagpur",True,0,nagpur
the biryani secrets - tbs,"indian,biryani",3.8,350,medical square,medical square,"b004, godrej anandam, model mill compound, ganeshpeth, nagpur, maharashtra-440018",True,0,nagpur
hotel tanveer,"north indian,mughlai,biryani",3.3,300,nandanvan,nandanvan,"masjid ahlehadis block mohd ali road, mominpura, nagpur urban- 440018",False,0,nagpur
fuel station,beverages,4.0,200,ganeshpeth colony,futala,"banode enclave, new shukrawari, near ashok square, above fitness courtyard gym, cement road, nagpur - 440018",True,0,nagpur
sindh punjab tadka,"north indian,mughlai,indian,punjabi,biryani,chinese,desserts",3.6,200,ramdaspeth,"ramdaspeth, sindh punjab","opposite hotel center point, ramdaspeth, nagpur",False,0,nagpur
the down town cafe and restro,"fast food,burgers,beverages",3.8,250,sitabuldi,sitabuldi,"f no bs 1 pooja palace apartment, dhantoli, nagpur, zone no 4, dhantoli, nagpur (urban), nagpur, maharashtra- 440012",True,0,nagpur
moti mahal restaurant,"indian,chinese,mughlai,desserts",4.2,800,sadar,sadar,"residency road, sadar, nagpur",False,0,nagpur
amaira,"north indian,chinese,desserts,beverages,italian,south indian",4.3,400,civil lines,civil lines,"1st floor, above axis bank, m.g.house, r.t.road, civil lines, nagpur",True,0,nagpur
oishi,"asian,chinese,japanese",4.4,300,gandhibagh,nandanvan,"hotel woodlands, beside hdfc bank, opp. gitanjali cinema, central avenue",False,0,nagpur
tauby's,"bakery,desserts,snacks,fast food,italian,pizzas,american",3.9,250,civil lines,sadar,"behind poonam plaza, civil lines, palm road, sadar, nagpur",False,0,nagpur
hotel bartania,"biryani,indian,north indian,chinese,mughlai,tandoor,kebabs,seafood",3.4,250,mominpura,mominpura,mohammad ali road mominpura,False,0,nagpur
hotel brijinn,"north indian,beverages,chinese,fast food,snacks,desserts",3.8,300,ganeshpeth,nandanvan,"near s.t. bus stand, khurana travels,  ganeshpeth, nagpur 440002",False,0,nagpur
biryani house (pure veg),"indian,mughlai,chinese,biryani,north indian,punjabi",2.9,200,lokmat chowk,"lokmat chowk, biryani","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
saroj bakery,"bakery,street food,combo",4.0,100,nagpur,sadar,"opposite sfs school, residency road, sadar, nagpur",False,0,nagpur
dinshaw's icecream - tatabaugh,"ice cream,desserts,beverages",4.6,300,gandhibagh,"gandhibagh, tatabagh","house no. 6/a, near tata parsi high school, opp. shukrawari talav, nagpur",False,0,nagpur
nanking chinese restaurant,"chinese,asian,seafood,pan-asian,beverages,thai,korean,singaporean",4.2,300,civil lines,civil lines,"167,r.t. road, civil lines",False,0,nagpur
cake links,bakery,4.3,200,sadar,sadar,"shop 13 - 15, vca stadium, sadar, nagpur",False,0,nagpur
liberty family restaurant,"north indian,chinese,indian,continental,tandoor,kebabs,biryani,italian,mughlai",4.3,400,sadar,sadar,"saraf chamber road, sadar, nagpur",False,0,nagpur
moksh - the restro lounge,"italian,continental,thai,chinese",3.4,400,sitabuldi,jhansi rani chowk,"near jhansi rani chowk, nagpur",False,0,nagpur
parag restaurant,"north indian,indian,mughlai,chinese,snacks",3.8,300,sitabuldi,sitabuldi,near panchsheel cinema sitabuldi nagpur nagpur urban nagpur 1 maharashtra,False,0,nagpur
burhanpur jalebi,"beverages,fast food",4.5,200,mominpura,nandanvan,"house no.826, momenpura, nagpur, maharashtra - 440018",True,0,nagpur
dahiya momos (ramdaspeth),chinese,4.3,200,ramdaspeth,dharampeth,"280,	lendra	park ramdaspeth-440010",False,0,nagpur
shree saoji bhojnalaya,chinese,3.8,200,sitabuldi,sitabuldi,panchseel chowk near parag bar wardha road nagpur urban 1,False,0,nagpur
food on mood,"chinese,indian",3.8,200,sitabuldi,sitabuldi,panchseel chowk near parag bar wardha road nagpur urban 1,False,0,nagpur
the sandwich box,snacks,3.8,200,sitabuldi,sitabuldi,"amarjyoti complex, chitale marg, lokmat square, ramdaspeth, nagpur, maharashtra 440012, india",True,0,nagpur
udupi gokula,"south indian,beverages",4.1,300,sadar,sadar,"3, mount rd, opp. lic office, mohan nagar, nagpur, maharashtra 440001, india",True,0,nagpur
the spice factory,"north indian,chinese,beverages",3.8,250,gandhibagh,gandhibagh,"hotel atrangi saoji, house no 371 beside b dosar bhavan chowk central avenue road nagpur urban nagpur 1 maharashtra -440018",False,0,nagpur
jubilee bakery,"burgers,fast food,snacks,desserts,bakery",4.1,200,byramji town,chaoni,"shop 1, dhadiwal complex, opposite moil bhavan, katol road, chhaoni, nagpur",False,0,nagpur
shahi biryani darbar (pure veg),"indian,thalis,chinese,biryani,north indian,punjabi,desserts",3.8,200,lokmat chowk,"lokmat square, shahi","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
shree ganesh farsan,"sweets,snacks,desserts,beverages",4.4,100,sadar,gaddigodam,gaddigodam sadar nagpur,True,0,nagpur
roti shoti (pure veg),"indian,thalis,chinese,biryani,north indian,punjabi,desserts",3.8,200,lokmat chowk,"lokmat square, shoti","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
sanjha chullah,"indian,chinese,north indian,tandoor,kebabs,mughlai,desserts,beverages",4.0,350,sadar,sadar,"opp fidvi tower, near saraf chambers, mount road, sadar, nagpur",False,0,nagpur
pav bhaji wala,"north indian,snacks,biryani",3.8,200,ramdaspeth,"ramdaspeth, pav bhaji","plot no. 1151, shop no.4250, manoj building, ground floor, ramdaspeth, nagpur",True,0,nagpur
la pino'z pizza,"italian,pizzas,pastas,desserts",3.7,300,dharampeth,dharampeth,"c/o ""yashoda"", plot  no. 20, shop no. 5,  mata mandir road,  near traffic park,  dharampeth, nagpur- 440010., nagpur urban,  nagpur-1, maharashtra- 440010",False,0,nagpur
centre point delivery,"north indian,chinese",4.1,1200,ramdaspeth,ramdaspeth,"central bazar road, hotel centre point, ramdaspeth, nagpur",False,0,nagpur
cafe panda,"pizzas,beverages,street food,snacks,chinese,italian",3.2,220,"medical square, ayodhya nagar","medical square, nagpur","plot no. 113, utkhana, near ambedkar school, nagpur",False,0,nagpur
ashoka restaurant,"north indian,chinese,continental,indian,mughlai,desserts,beverages",4.5,1100,sadar,sadar,"60, sadar bazar main road, sadar, nagpur",False,0,nagpur
mahalaxmi street house,"pizzas,fast food,american",3.8,200,gandhibagh,gandhibagh,house no 617 ward no 34 gandhi chowk ganjipeth nagpur zone no 6 gandhibag nagpur urban nagpur maharashtra,True,0,nagpur
shanaya's grill,"north indian,indian,punjabi,biryani,chinese,desserts",3.8,200,ramdaspeth,"ramdaspeth, shanaya","opposite centre point hotel, ramdaspeth, nagpur",False,0,nagpur
punjab restaurant kartar singh da dhaba,north indian,4.1,200,sadar,bajaj nagar,"13, gaddi godam, kamptee road, bajaj nagar, nagpur",False,0,nagpur
food links,"beverages,snacks",3.9,250,sadar,sadar,"shop 13-15, vca stadium, sadar, nagpur, maharashtra",True,0,nagpur
navratna raghav restaurant,"north indian,gujarati,indian,desserts",4.1,350,sadar,sadar,"33, salwe square, mount road, sadar, nagpur",True,0,nagpur
taj gulzar,"indian,chinese,tandoor,north indian",3.8,399,gandhibagh,sadar,"bhagwaghar chowk, hansapuri road, nagar (urban), nagpur, maharashtra-440018",False,0,nagpur
fitness courtyard,"north indian,chinese,desserts",4.4,250,ganeshpeth colony,gandhibagh,"banode enclave, new shukrawari, near ashok square bridge, kashibai temple, gandhibagh, nagpur",True,0,nagpur
vyanjanam,"north indian,chinese",3.8,150,ramdaspeth,ramdaspeth,"nr.centre point, ramdaspeth",True,0,nagpur
cake's inn,bakery,4.1,300,sadar,sadar,"opposite saraf chambers, mount road, sadar, nagpur",True,0,nagpur
pratape foods,north indian,3.8,500,ramdaspeth,jhansi rani chowk,"nourth ambazari road, near university library, ramdaspeth, nagpur, maharashtra 440010",False,0,nagpur
biryani villa,"north indian,indian,mughlai,chinese,biryani",4.0,250,sadar,"sadar, villa","bullock cart, house no . 3425/a near smurti talkies mount road sadar nagpur, nagpur urban, nagpur-1 (maharashtra), 440001",False,0,nagpur
vadilal ice cream,"ice cream,desserts,sweets",4.1,250,medical square,nandanvan,"qtr.no.14/5, v.h.b. colony, rambag play gaound nagpur 440003",True,0,nagpur
hyderabad biryani.com,biryani,3.8,250,sadar civil lines,manish nagar,"shop no. 17, vca complex, sadar civil lines, nagpur area: sadar civil lines city: nagpur",False,0,nagpur
the kathi crossing,indian,4.0,200,civil lines,civil lines,"heritage hotel, ravindranath tagore road, civil lines, collector's circle, nagpur",False,0,nagpur
the belgian waffle co.,"desserts,beverages",4.1,200,sadar,sadar bus stop,"residency road, near gangaur, adjacent to diamond salon, opposite governer's bangalow bus stop, sadar, nagpur",True,0,nagpur
sardarji da chullah,"north indian,indian,mughlai,chinese,biryani",3.8,250,sadar,"sadar, sardarji",bullockcart restaurant ashoka hotel chowk mount road sadar nagpur,False,0,nagpur
rajendra chinese,chinese,3.8,200,bajaj nagar,bajaj nagar,"vaibhav laxmi lawn,  near baba garage, bajaj  nagar chowk, nagpur  urban-440010",False,0,nagpur
thali wala (pure veg),"thalis,north indian,indian,hyderabadi,biryani,mughlai",2.6,200,lokmat chowk,"lokmat chowk, thali","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
fuel blend,"beverages,desserts",3.8,200,ramdaspeth,ramdaspeth,"chatori street, ramdaspeth, nagpur",False,0,nagpur
taste hub,"italian,fast food,bakery",3.8,200,gandhibagh,gandhibagh,"44w5+2mr, mahal, nagpur, maharashtra 440032, india",True,0,nagpur
meeting point,"north indian,fast food",3.8,400,ramdaspeth,bajaj nagar,"hotel centre point, ramdaspeth, nagpur",False,0,nagpur
shabana's bakery & cafe,"bakery,chinese,italian",3.8,200,dharampeth,dharampeth,"shop 1, plot 25-26, ground floor, gokul roshan apartment, dharampeth, nagpur",False,0,nagpur
grill inn,"beverages,fast food,pizzas",4.2,300,dharampeth,dharampeth,"shop no. 11, 12, lad apartment, opposite tarkunde dharampeth school ,khare town ,ambazari road ,dharampeth ,nagpur ., zone no.3 - neharunagar,nagpur urban ,nagpur-1, maharashtra -440010",False,0,nagpur
biryani e khaas,"biryani,thalis,indian,chinese,north indian,punjabi,desserts",3.8,200,lokmat chowk,"lokmat chowk, khaas","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
shree ganesh bhandar,"north indian,snacks",3.8,300,mahal,gandhibagh,"401, pataleshwar road chitaloli, badkas chowk, ghatate wada, mangalwari, mahal, nagpur",True,0,nagpur
biryani mafia,biryani,3.8,200,ramdaspeth,"ramdaspeth, biryani","plot no. 1151,shop no. 4250,manoj building, groud floor, ramdaspeth, nagpur",False,0,nagpur
bapu ki kutiya,"north indian,indian,punjabi,biryani,chinese,desserts",3.8,200,ramdaspeth,"ramdaspeth, bapu ki kutiya","opposite centre point hotel, ramdaspeth, nagpur",True,0,nagpur
taste of hyderabad (pure veg),"indian,thalis,chinese,biryani,north indian,punjabi,desserts",3.8,200,lokmat chowk,"lokmat chowk, shankar","lokmat square, dhantoli, nagpur, maharashtra 440012, india",True,0,nagpur
saoji maza,north indian,3.8,200,ayodhya nagar,ayodhya nagar,"near milind buddha  vihar,rambag,medical  chowk,nagpur., zone no.5- hanumannagar, nagpur urban, nagpur-1,  maharashtra - 440003",False,0,nagpur
poha maza,"snacks,fast food",3.8,200,ayodhya nagar,ayodhya nagar,"near milind buddha  vihar,rambag,medical  chowk,nagpur., zone no.5- hanumannagar, nagpur urban, nagpur-1,  maharashtra - 440003",False,0,nagpur
roast cafe,"indian,chinese,north indian,tandoor,biryani,beverages,mughlai,pizzas,italian-american,snacks,american",4.0,250,sadar,residency road,"zal complex, below bharat saree stores, sadar, nagpur",False,0,nagpur
chef's on fire,"chinese,fast food,street food,beverages",4.0,150,sadar,sadar,"shop no. 3, opp. pehnava boutique, zone no.10, mangalwari, nagpur urban-440001",False,0,nagpur
juice factory,"juices,fast food,snacks,chaat,beverages",3.8,200,sitabuldi,sitabuldi,"gs 08 , western palace, humpyard  road, congress nagar , dhantoli,  ward no 5, nagpur (municipal  corporation.) , nagpur (urban),  nagpur, 440012, zone no.4 -dhantoli,  nagpur (urban), nagpur, maharas",False,0,nagpur
lb's kitchen,"indian,chinese,mughlai,north indian,beverages,tandoor",3.8,450,sadar,sadar,"hotel lb, mount road, sadar, nagpur",False,0,nagpur
lassi shop,"beverages,desserts",3.8,150,dharampeth,dharampeth,"shop 18, vca shopping complex, opp  church, civil lines, zone no.2 - dharampeth, nagpur (urban), nagpur,  maharashtra - 440001",False,0,nagpur
nandri south indian restaurant,"south indian,indian,chinese,beverages",3.8,300,sadar,sadar,8/8a ad complex mount road extension opp ajmera tyers sadar nagpur nagpur urban nagpur maharashtra 440001,False,0,nagpur
khichdi only,"indian,combo",3.9,200,ramdaspeth,"ramdaspeth, khichdi","plot no. 1151, shop no.4250, manoj building, ground floor, ramdaspeth, nagpur",True,0,nagpur
hariom's hb kitchen,"north indian,indian,punjabi,biryani,chinese,desserts",2.8,200,ramdaspeth,"ramdaspeth, hariom","opposite centre point hotel, ramdaspeth, nagpur",True,0,nagpur
